"","Date","GSPC_ret","MMM_ret","A_ret","SLV_ret"
"2","2002-02-01",-0.0207662110397276,0.0624322803891977,0.026359438647104,0
"3","2002-03-01",0.0367388928620747,-0.0194272001207546,0.122312072054384,0
"4","2002-04-01",-0.0614176259192191,0.0938181493788479,-0.140446310677949,0
"5","2002-05-01",-0.00908148135217701,-0.00294135606642798,-0.122462979182949,0
"6","2002-06-01",-0.0724553538081798,-0.0145617374693567,-0.10314744348996,0
"7","2002-07-01",-0.0790042751494077,0.0230079615262309,-0.201691202050879,0
"8","2002-08-01",0.00488143330649438,-0.00699334422518327,-0.288665417007995,0
"9","2002-09-01",-0.110024318252428,-0.115633690287957,-0.0275502281596937,0
"10","2002-10-01",0.086448800333714,0.154313910788775,0.0528330899131231,0
"11","2002-11-01",0.0570696207049859,0.0229248381279248,0.411636373829342,0
"12","2002-12-01",-0.0603325718850288,-0.0458218566012696,-0.0747037078944957,0
"13","2003-01-01",-0.0274146926830446,0.0101383668234709,-0.082405593864846,0
"14","2003-02-01",-0.0170036082568717,0.00658296916779766,-0.199029225669975,0
"15","2003-03-01",0.00835756768433282,0.0426049161849182,-0.00378749876855922,0
"16","2003-04-01",0.0810441071800323,-0.0306851201412645,0.218250905071897,0
"17","2003-05-01",0.0508987096095226,0.0034115901254228,0.131710305388704,0
"18","2003-06-01",0.0113222146768521,0.025270229177589,0.0783232113927481,0
"19","2003-07-01",0.0162237019585365,0.0869903566036787,0.111508925862696,0
"20","2003-08-01",0.0178732035934879,0.016190813521497,0.119190105527737,0
"21","2003-09-01",-0.0119443645855257,-0.0259411776397696,-0.0908717869192768,0
"22","2003-10-01",0.0549614866357166,0.14188421938624,0.127091842850162,0
"23","2003-11-01",0.00712850407137289,0.00215598328411692,0.134831628708862,0
"24","2003-12-01",0.0507655407788921,0.0804015354121419,0.0339461442314937,0
"25","2004-01-01",0.0172763869507553,-0.0698575479538942,0.260601709084397,0
"26","2004-02-01",0.0122089737376105,-0.0135287333145139,-0.0724359082379404,0
"27","2004-03-01",-0.0163589196178668,0.054070756877221,-0.0748756366068812,0
"28","2004-04-01",-0.0167907519603482,0.0563088396937532,-0.146064113957991,0
"29","2004-05-01",0.0120834500973541,-0.0222019397422358,-0.0485003234836894,0
